# Nmap 7.95 scan initiated Fri Oct  3 21:34:29 2025 as: nmap -p- -T4 -n -Pn -oN /workspace/htb/celestial-scribe/scans/nmap_full.txt 94.237.123.119
Nmap scan report for 94.237.123.119
Host is up (0.16s latency).
Not shown: 65052 closed tcp ports (conn-refused)
PORT      STATE    SERVICE
51152/tcp open     unknown
51224/tcp open     unknown
51239/tcp open     unknown
51318/tcp open     unknown
51344/tcp open     unknown
51429/tcp open     unknown
51568/tcp open     unknown
51667/tcp open     unknown
51677/tcp open     unknown
51705/tcp open     unknown
51788/tcp open     unknown
51863/tcp open     unknown
51879/tcp open     unknown
51986/tcp open     unknown
52025/tcp open     unknown
52039/tcp open     unknown
52103/tcp open     unknown
52135/tcp open     unknown
52183/tcp open     unknown
52430/tcp open     unknown
52483/tcp open     unknown
52534/tcp open     unknown
52579/tcp open     unknown
52594/tcp open     unknown
52658/tcp open     unknown
52690/tcp open     unknown
52735/tcp open     unknown
52761/tcp open     unknown
52781/tcp open     unknown
52785/tcp open     unknown
52882/tcp open     unknown
52924/tcp open     unknown
53058/tcp open     unknown
53091/tcp open     unknown
53099/tcp open     unknown
53153/tcp open     unknown
53208/tcp open     unknown
53249/tcp open     unknown
53374/tcp open     unknown
53414/tcp open     unknown
53511/tcp open     unknown
53520/tcp open     unknown
53577/tcp open     unknown
53678/tcp open     unknown
53693/tcp open     unknown
53822/tcp open     unknown
53860/tcp open     unknown
53868/tcp open     unknown
53870/tcp open     unknown
53934/tcp open     unknown
53958/tcp open     unknown
54052/tcp open     unknown
54168/tcp open     unknown
54265/tcp open     unknown
54304/tcp open     unknown
54459/tcp open     unknown
54537/tcp open     unknown
54552/tcp open     unknown
54610/tcp open     unknown
54628/tcp open     unknown
54683/tcp open     unknown
54716/tcp open     unknown
54910/tcp open     unknown
54958/tcp open     unknown
55025/tcp open     unknown
55109/tcp open     unknown
55148/tcp open     unknown
55191/tcp open     unknown
55367/tcp open     unknown
55404/tcp open     unknown
55424/tcp open     unknown
55453/tcp open     unknown
55468/tcp open     unknown
55518/tcp open     unknown
55547/tcp open     unknown
55569/tcp open     unknown
55601/tcp open     unknown
55628/tcp open     unknown
55657/tcp open     unknown
55739/tcp open     unknown
55768/tcp open     unknown
55819/tcp open     unknown
55857/tcp open     unknown
55950/tcp open     unknown
55959/tcp open     unknown
56048/tcp open     unknown
56122/tcp open     unknown
56190/tcp open     unknown
56201/tcp open     unknown
56267/tcp open     unknown
56279/tcp open     unknown
56287/tcp open     unknown
56339/tcp open     unknown
56368/tcp open     unknown
56448/tcp open     unknown
56476/tcp open     unknown
56633/tcp open     unknown
56642/tcp open     unknown
56663/tcp open     unknown
56730/tcp open     unknown
56784/tcp open     unknown
56870/tcp open     unknown
57027/tcp open     unknown
57199/tcp open     unknown
57222/tcp open     unknown
57312/tcp open     unknown
57476/tcp open     unknown
57631/tcp open     unknown
57632/tcp open     unknown
57645/tcp open     unknown
57744/tcp open     unknown
57807/tcp open     unknown
57828/tcp open     unknown
57844/tcp open     unknown
57856/tcp open     unknown
57874/tcp open     unknown
57995/tcp open     unknown
57998/tcp open     unknown
58042/tcp open     unknown
58059/tcp open     unknown
58165/tcp open     unknown
58259/tcp open     unknown
58347/tcp open     unknown
58467/tcp open     unknown
58545/tcp open     unknown
58602/tcp open     unknown
58697/tcp open     unknown
58702/tcp open     unknown
58757/tcp open     unknown
58856/tcp open     unknown
58888/tcp open     unknown
58909/tcp open     unknown
58969/tcp open     unknown
58991/tcp open     unknown
59175/tcp open     unknown
59335/tcp open     unknown
59455/tcp open     unknown
59587/tcp open     unknown
59603/tcp open     unknown
59928/tcp open     unknown
59938/tcp open     unknown
59953/tcp open     unknown
59968/tcp open     unknown
59977/tcp open     unknown

# Nmap done at Fri Oct  3 21:39:06 2025 -- 1 IP address (1 host up) scanned in 277.43 seconds
